school_id,school_name,borough,district,start_minutes,start_time_raw,building_code,grad_rate,advanced_regents_pct,dropout_pct,attendance_rate,college_career_rate,cohort_size,poverty_pct,el_pct,swd_pct,enrollment,admissions_method,applicants_per_seat,outcome_censored,enrollment_1000,start_hours,start_group,poverty_band
28Q350,Jamaica Gateway to the Sciences,Queens,New York City,495.0,8:15am,Q470,89.7,43.7,6.3,88.0,73.0,126.0,65.2,9.9,14.4,494.0,Educational option,19.0,False,0.494,8.25,Late,Lower middle
16K688,The Brooklyn Academy of Global Finance,Brooklyn,New York City,495.0,8:15am,K057,72.7,0.0,13.6,78.0,26.0,22.0,92.4,14.3,26.700000000000003,105.0,Educational option,2.0,False,0.105,8.25,Late,Highest poverty
28Q620,Thomas A. Edison Career and Technical Education High School,Queens,New York City,480.0,8am,Q620,91.5,44.9,2.1,93.0,73.0,517.0,59.6,2.2,13.7,2196.0,Screened,16.0,False,2.196,8.0,Early,Lower middle
06M463,High School for Media and Communications,Manhattan,New York City,480.0,8am,M465,66.3,0.0,11.2,90.0,35.0,89.0,92.3,49.7,17.4,396.0,Educational option,3.0,False,0.396,8.0,Early,Highest poverty
06M468,High School for Health Careers and Sciences,Manhattan,New York City,480.0,8am,M465,69.5,1.2,14.6,87.0,39.0,82.0,91.8,41.1,18.2,423.0,Educational option,4.0,False,0.423,8.0,Early,Highest poverty
10X237,"The Marie Curie School for Medicine, Nursing, and Health Professions",Bronx,New York City,490.0,8:10am,X143,64.7,0.0,8.4,82.0,68.0,119.0,84.39999999999999,12.8,23.5,430.0,Educational option,4.0,False,0.43,8.166666666666666,Early,Upper middle
01M509,Marta Valle High School,Manhattan,New York City,480.0,8am,M025,86.8,2.6,5.3,79.0,49.0,38.0,80.80000000000001,6.3,27.6,127.0,Educational option,1.0,False,0.127,8.0,Early,Upper middle
28Q167,Metropolitan Expeditionary Learning School,Queens,New York City,510.0,8:30am,Q686,94.4,24.1,1.9,93.0,90.0,108.0,51.9,2.0,18.6,832.0,Unscreened,23.0,False,0.832,8.5,Late,Lowest poverty
08X367,"Archimedes Academy for Math, Science and Technology Applications",Bronx,New York City,550.0,9:10am,X174,62.8,2.1,19.1,78.0,43.0,94.0,83.39999999999999,10.6,27.200000000000003,659.0,Educational option,4.0,False,0.659,9.166666666666666,Late,Upper middle
17K539,High School for Service & Learning at Erasmus,Brooklyn,New York City,480.0,8am,K465,78.5,1.3,12.7,84.0,49.0,79.0,81.89999999999999,14.8,21.5,297.0,Educational option,2.0,False,0.297,8.0,Early,Upper middle
24Q455,Newtown High School,Queens,New York City,480.0,8am,Q455,67.8,10.4,11.1,90.0,49.0,512.0,78.8,23.9,13.8,1805.0,Educational option,4.0,False,1.805,8.0,Early,Upper middle
27Q475,Richmond Hill High School,Queens,New York City,480.0,8am,Q475,61.3,3.7,22.2,87.0,42.0,465.0,76.7,23.0,14.4,1576.0,Educational option,4.0,False,1.576,8.0,Early,Upper middle
07X548,Careers In Sports High School,Bronx,New York City,505.0,8:25am,X790,58.6,0.0,21.8,77.0,56.99999999999999,133.0,88.7,17.4,25.0,528.0,Educational option,8.0,False,0.528,8.416666666666666,Late,Highest poverty
23K493,Brooklyn Collegiate: A College Board School,Brooklyn,New York City,490.0,8:10am,K055,68.9,1.6,9.8,85.0,50.0,61.0,82.69999999999999,5.9,23.0,239.0,Educational option,3.0,False,0.239,8.166666666666666,Early,Upper middle
02M545,High School for Dual Language and Asian Studies,Manhattan,New York City,480.0,8am,M445,98.9,90.9,0.0,98.0,86.0,88.0,78.4,13.4,3.2,402.0,Screened,14.0,False,0.402,8.0,Early,Upper middle
